genus_lookup,species_lookup,synonym_genus_lookup,synonym_species_lookup,taxon_name,taxon_name_without_author,accession_code,provenance_type,material_type_code,material_type,accession_status,verification_level,field_codes,field_names,region,locality,country
Echium,vulgare,,,Echium vulgare L.,Echium vulgare,19964918,Ungenügend Angaben,,,Lebend,Nicht verifiziert,10,Heilpflanzen,,,
Epilobium,montanum,,,Epilobium montanum L.,Epilobium montanum,20250381,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,,46,Mitteleuropa unterhalb Institut Mitte,"Effretikon, Wangenerwald, Wangenerweg",Waldrandweg vom Laubwald,Schweiz
Epimedium,alpinum,,,Epimedium alpinum L.,Epimedium alpinum,19964174,Ungenügend Angaben,,,Lebend,Durch Experten,"6, 48","Epimedium-Wäldchen,Mitteleuropa Bienenkasten zum Teich",,,
Epimedium,alpinum,,,Epimedium alpinum L.,Epimedium alpinum,20100491,Ungenügend Angaben,P,Ganze Pflanzen,Lebend,Nicht verifiziert,521,Böschung West und Nord; Katzhügel,,,
Erigeron,annuus,,,Erigeron annuus (L) Desf.,Erigeron annuus,20060558,Ungenügend Angaben,,,Lebend,Durch Experten,"10, 21","Heilpflanzen,Magerwiese",,,
Erodium,cicutarium,,,Erodium cicutarium (L.) L'Hér. ex Aiton,Erodium cicutarium,20250382,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,,10,Heilpflanzen,"Dietlikon, Im Lämpitzäckern am Strassenrand",,Schweiz
Eschscholzia,californica,,,Eschscholzia californica Cham.,Eschscholzia californica,19965136,Ungenügend Angaben,,,Lebend,Nicht verifiziert,2,Umgebung Schauhäuser,,,
Euonymus,europaeus,,,Euonymus europaeus L.,Euonymus europaeus,19964062,Ungenügend Angaben,,,Lebend,Durch Experten,8,Waldrand b. Nutzpflanzen,,,
Euonymus,europaeus,,,Euonymus europaeus L.,Euonymus europaeus,19765432,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,"12, 13, 160","Anzucht Alpinum,Arenawald,Wald mit Frühlingsblüher",,,
,,Euonymus,europaeus,Euonymus latifolius (L.) Mill.,Euonymus latifolius,19963295,Ungenügend Angaben,,,Lebend,Nicht verifiziert,39,Rhododendron Ost,,,
Eupatorium,cannabinum,,,Eupatorium cannabinum L.,Eupatorium cannabinum,19963297,Ungenügend Angaben,,,Lebend,Nicht verifiziert,"10.10, 47","Ausstellungen,Mitteleuropa Weg Brücke Institut",,,
Eupatorium,cannabinum,,,Eupatorium cannabinum L.,Eupatorium cannabinum,19966568,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Durch Experten,16,Teich und Umgebung,,,
Euphorbia,cyparissias,,,Euphorbia cyparissias L.,Euphorbia cyparissias,19965630,Ungenügend Angaben,,,Lebend,Nicht verifiziert,"21, 46","Magerwiese,Mitteleuropa unterhalb Institut Mitte",,,
Euphorbia,lathyris,,,Euphorbia lathyris L.,Euphorbia lathyris,19963298,Ungenügend Angaben,,,Lebend,Durch Experten,"23, 24","Mittelmeer Institut bis Treppe,Wadi Südost",,,
Euphorbia,stricta,,,Euphorbia stricta L.,Euphorbia stricta,20080583,Ungenügend Angaben,P,Ganze Pflanzen,Lebend,Durch Experten,16,Teich und Umgebung,,,
Fagopyrum,esculentum,,,Fagopyrum esculentum Moench,Fagopyrum esculentum,19963302,Ungenügend Angaben,,,Lebend,Nicht verifiziert,"7.03, 10.03","Mittelalter,Renaissance",,,
Foeniculum,vulgare,,,Foeniculum vulgare Mill.,Foeniculum vulgare,20210286,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,10.16,Stärkung,,,
Foeniculum,vulgare,,,Foeniculum vulgare Mill.,Foeniculum vulgare,20240200,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,,519.02,Krautgarten,,,
Forsythia,suspensa,,,Forsythia suspensa (Thunb.) Vahl,Forsythia suspensa,20021651,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,28,Frühlingsgarten an Zollikerstrasse,,,
Fragaria,vesca,,,Fragaria vesca L.,Fragaria vesca,19965631,Ungenügend Angaben,,,Lebend,Durch Experten,8,Waldrand b. Nutzpflanzen,,,
Fragaria,vesca,,,Fragaria vesca L.,Fragaria vesca,19980977,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,"27, 31","Färbepflanzen,Frühlingsgarten Rabatte a. Hauptweg","Modena, Gui...........",,Italien
Fragaria,vesca,,,Fragaria vesca L.,Fragaria vesca,20060551,Ungenügend Angaben,,,Lebend,Durch Experten,21,Magerwiese,,,
Fragaria,vesca,,,Fragaria vesca L.,Fragaria vesca,20190964,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,9,Weg zu Schauhäuser und Paradiesli,,,
Frangula,alnus,,,Frangula alnus Mill.,Frangula alnus,20190627,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,9,Weg zu Schauhäuser und Paradiesli,,,
Fuchsia,magellanica,,,Fuchsia magellanica Lam. var. macrostemma (Ruiz & Pav.) Munz,Fuchsia magellanica var. macrostemma,19900105,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,2,Umgebung Schauhäuser,,,
Fuchsia,magellanica,,,Fuchsia magellanica Lam. var. molinae Espinosa,Fuchsia magellanica var. molinae,19900104,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,2,Umgebung Schauhäuser,,,
,,Fuchsia,magellanica,Fuchsia magellanica Lam. var. macrostemma (Ruiz & Pav.) Munz,Fuchsia magellanica var. macrostemma,19900105,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,2,Umgebung Schauhäuser,,,
,,Fuchsia,magellanica,Fuchsia magellanica Lam. var. molinae Espinosa,Fuchsia magellanica var. molinae,19900104,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,2,Umgebung Schauhäuser,,,
,,Fuchsia,magellanica,Fuchsia 'Riccartonii',Fuchsia 'Riccartonii',19930034,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,2,Umgebung Schauhäuser,,,
Galium,album,,,Galium album Mill.,Galium album,19820007,Ungenügend Angaben,,,Lebend,Durch Experten,41,Mitteleuropa am Hauptweg,,,
Galium,album,,,Galium album Mill.,Galium album,20060552,Ungenügend Angaben,,,Lebend,Durch Experten,21,Magerwiese,,,
Galium,aparine,,,Galium aparine L.,Galium aparine,20250242,,,,Lebend,,9,Weg zu Schauhäuser und Paradiesli,,,
Galium,mollugo,,,Galium mollugo L.,Galium mollugo,20160004,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,33,Paeonienteil Süd,"Oetwil a. See, ZH","Langholzstrasse, am Strassenrand",Schweiz
,,Galium,mollugo,Galium mollugo L.,Galium mollugo,20160004,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,33,Paeonienteil Süd,"Oetwil a. See, ZH","Langholzstrasse, am Strassenrand",Schweiz
Galium,odoratum,,,Galium odoratum (L.) Scop.,Galium odoratum,19964118,Ungenügend Angaben,,,Lebend,Durch Experten,24,Mittelmeer Institut bis Treppe,,,
Galium,odoratum,,,Galium odoratum (L.) Scop.,Galium odoratum,20190789,Ungenügend Angaben,P,Ganze Pflanzen,Lebend,Nicht verifiziert,39,Rhododendron Ost,,,
Galium,verum,,,Galium verum L.,Galium verum,19968416,Ungenügend Angaben,,,Lebend,Nicht verifiziert,21,Magerwiese,,,
Galium,verum,,,Galium verum L.,Galium verum,20230509,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,7.12,Färberpflanzen,,,
Gentiana,acaulis,,,Gentiana acaulis L.,Gentiana acaulis,19760413,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Durch Experten,45,Mitteleuropa unterhalb Institut West,,,
Geranium,endressii,,,Geranium endressii Gay 'Wargrave Pink',Geranium endressii 'Wargrave Pink',19790179,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Durch Experten,17,Geraniumweg und Umfeld,,,
Geranium,ibericum,,,Geranium ibericum Cav. subsp. ibericum,Geranium ibericum subsp. ibericum,19981383,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,23,Wadi Südost,,,
Geranium,ibericum,,,Geranium ibericum Cav. subsp. jubatum (Haud-Mazz.) P.H.Davis,Geranium ibericum subsp. jubatum,19981384,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,22,Wadi Nordost,,,
,,Geranium,macrorrhizum,Geranium dalmaticum (Beck) Rech.f.,Geranium dalmaticum,19780146,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Durch Experten,23,Wadi Südost,,,
Geranium,nodosum,,,Geranium nodosum L.,Geranium nodosum,19850004,Ungenügend Angaben,,,Lebend,Durch Experten,"32, 33","Paeonienteil Nord,Paeonienteil Süd",,,
Geranium,nodosum,,,Geranium nodosum L.,Geranium nodosum,20090740,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,Durch Experten,47,Mitteleuropa Weg Brücke Institut,Piano delle Alborelle,,Italien
Geranium,palustre,,,Geranium palustre L.,Geranium palustre,19850005,Ungenügend Angaben,,,Lebend,Durch Experten,16,Teich und Umgebung,,,
Geranium,platypetalum,,,Geranium platypetalum Fisch. & C.A.Mey.,Geranium platypetalum,19981545,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,17,Geraniumweg und Umfeld,,,
Geranium,pratense,,,Geranium pratense L.,Geranium pratense,20141024,Ungenügend Angaben,P,Ganze Pflanzen,Lebend,Nicht verifiziert,"42, 162","Anzucht Wasserpflanzen,Asien am Hauptweg",,,
Geranium,pyrenaicum,,,Geranium pyrenaicum Burm.f.,Geranium pyrenaicum,20250243,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,,11,Erlebnisgarten,"Effretikon, Wangenerwald, Wangenerweg",Waldrandweg,Schweiz
Geranium,rivulare,,,Geranium rivulare Vill.,Geranium rivulare,19880064,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,Durch Experten,45,Mitteleuropa unterhalb Institut West,Binn VS,Breithorn,Schweiz
Geranium,robertianum,,,Geranium robertianum L. subsp. robertianum,Geranium robertianum subsp. robertianum,19963788,Ungenügend Angaben,,,Lebend,Nicht verifiziert,8,Waldrand b. Nutzpflanzen,,,
Geranium,robertianum,,,Geranium robertianum L.,Geranium robertianum,20250244,,,,Lebend,,45,Mitteleuropa unterhalb Institut West,,,
,,Geranium,robertianum,Geranium robertianum L. subsp. robertianum,Geranium robertianum subsp. robertianum,19963788,Ungenügend Angaben,,,Lebend,Nicht verifiziert,8,Waldrand b. Nutzpflanzen,,,
,,Geranium,robertianum,Geranium robertianum L.,Geranium robertianum,20250244,,,,Lebend,,45,Mitteleuropa unterhalb Institut West,,,
Geranium,sanguineum,,,Geranium sanguineum L.,Geranium sanguineum,19963328,Ungenügend Angaben,,,Lebend,Durch Experten,41,Mitteleuropa am Hauptweg,,,
Geranium,sanguineum,,,Geranium sanguineum L. var. striatum Western,Geranium sanguineum var. striatum,19981380,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,17,Geraniumweg und Umfeld,,,
Geranium,sylvaticum,,,Geranium sylvaticum L.,Geranium sylvaticum,19870131,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,Durch Experten,45,Mitteleuropa unterhalb Institut West,Bargen SH,beim Schiesstand,Schweiz
Geranium,sylvaticum,,,Geranium sylvaticum L.,Geranium sylvaticum,20050016,Ungenügend Angaben,,,Lebend,Durch Experten,21,Magerwiese,,,
,,Geranium,sylvaticum,Geranium rivulare Vill.,Geranium rivulare,19880064,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,Durch Experten,45,Mitteleuropa unterhalb Institut West,Binn VS,Breithorn,Schweiz
Geranium,wlassovianum,,,Geranium wlassovianum Link,Geranium wlassovianum,19981388,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,25,"Hydrangea, Tertiärgarten",,,
Geum,rivale,,,Geum rivale L.,Geum rivale,19965106,Ungenügend Angaben,,,Lebend,Durch Experten,16,Teich und Umgebung,,,
Geum,urbanum,,,Geum urbanum L.,Geum urbanum,19965044,Ungenügend Angaben,,,Lebend,Nicht verifiziert,"12, 16","Teich und Umgebung,Wald mit Frühlingsblüher",,,
Geum,urbanum,,,Geum urbanum L.,Geum urbanum,20060572,Ungenügend Angaben,,,Lebend,Durch Experten,21,Magerwiese,,,
Gladiolus,italicus,,,Gladiolus italicus Mill.,Gladiolus italicus,20161028,Ungenügend Angaben,P,Ganze Pflanzen,Lebend,Nicht verifiziert,24,Mittelmeer Institut bis Treppe,,,
Glechoma,hederacea,,,Glechoma hederacea L.,Glechoma hederacea,20190961,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,9,Weg zu Schauhäuser und Paradiesli,,,
Helianthemum,nummularium,,,Helianthemum nummularium (L.) Mill.,Helianthemum nummularium,20180779,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,10.12,Bach-Blüten,,,
Helleborus,viridis,,,Helleborus viridis L. var. occidentalis (Reut.) Schiffn.,Helleborus viridis var. occidentalis,20051530,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,23,Wadi Südost,Artigue de Balour (Dép. Pyrenées - Atlantique),"Vallée d‘Ossau, knapp oberhalb Wald auf dem Weg zur Cabanne ? (kalkiger Untergrund)",Frankreich
Helleborus,viridis,,,Helleborus viridis L.,Helleborus viridis,20090738,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,47,Mitteleuropa Weg Brücke Institut,Piano delle Alborelle,,Italien
Hemerocallis,lilioasphodelus,,,Hemerocallis lilioasphodelus L.,Hemerocallis lilioasphodelus,19770477,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Durch Experten,"16, 162","Anzucht Wasserpflanzen,Teich und Umgebung",,,
Heracleum,sphondylium,,,Heracleum sphondylium L.,Heracleum sphondylium,20060573,Ungenügend Angaben,,,Lebend,Durch Experten,21,Magerwiese,,,
Heuchera,micrantha,,,Heuchera micrantha Douglas ex Lindl. 'Palace Purple',Heuchera micrantha 'Palace Purple',20100528,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,94,Mixed Border,,,
Hibiscus,syriacus,,,Hibiscus syriacus L.,Hibiscus syriacus,20050007,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,28,Frühlingsgarten an Zollikerstrasse,,,
Hosta,plantaginea,,,Hosta plantaginea (Lam.) Asch.,Hosta plantaginea,19963367,Ungenügend Angaben,,,Lebend,Durch Experten,"39, 57","Institutsrabatte,Rhododendron Ost",,,
Hyacinthoides,hispanica,,,Hyacinthoides hispanica (Mill.) Rothm.,Hyacinthoides hispanica,20200518,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,"505, 515","Instituts-Gebäude,Teich; Rasen um Teich",,,
Hydrangea,arborescens,,,Hydrangea arborescens L.,Hydrangea arborescens,20160599,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,25,"Hydrangea, Tertiärgarten",,,
,,Hydrangea,macrophylla,Hydrangea serrata (Thunb.) Ser.,Hydrangea serrata,19963377,Ungenügend Angaben,,,Lebend,Durch Experten,25,"Hydrangea, Tertiärgarten",,,
Hydrangea,paniculata,,,Hydrangea paniculata Siebold 'Kyushu',Hydrangea paniculata 'Kyushu',20140744,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,25,"Hydrangea, Tertiärgarten",,,
Hydrangea,quercifolia,,,Hydrangea quercifolia W.Bartram,Hydrangea quercifolia,19370502,Ungenügend Angaben,,,Lebend,Nicht verifiziert,25,"Hydrangea, Tertiärgarten",,,
Hylotelephium,maximum,,,Hylotelephium maximum (L.) Holub,Hylotelephium maximum,20230747,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,45,Mitteleuropa unterhalb Institut West,"Tessin, Onseronetal",Berzona,Schweiz
Hylotelephium,telephium,,,Hylotelephium telephium (L.) H.Ohba,Hylotelephium telephium,20240564,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,Durch Experten,33,Paeonienteil Süd,"Boppelsen, Lägern","bei Burgruine Alt Lägern, im Bereich der Kalksteinmauer, teils auf Kalksteinbrocken und in Felsennischen.",Schweiz
,,Hylotelephium,telephium,Hylotelephium maximum (L.) Holub,Hylotelephium maximum,20230747,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,45,Mitteleuropa unterhalb Institut West,"Tessin, Onseronetal",Berzona,Schweiz
Hypericum,perforatum,,,Hypericum perforatum L.,Hypericum perforatum,19966577,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,4,"Hamamelidaceae, Umgebung Wasserpflanzen",,,
Hypericum,perforatum,,,Hypericum perforatum L.,Hypericum perforatum,20180707,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,"10.17, 10.11, 10.05, 10.03, 10.04, 10.02, 10.01","Antike,Gegenwart,Homöopathie,Kontinuum,Linderung,Mittelalter,Renaissance",,,
Hypericum,perforatum,,,Hypericum perforatum L.,Hypericum perforatum,20210287,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,10.1,Ausstellungen,,,
Hypericum,perforatum,,,Hypericum perforatum L.,Hypericum perforatum,20250536,Ungenügend Angaben,P,Ganze Pflanzen,Lebend,,24,Mittelmeer Institut bis Treppe,,,
Iberis,sempervirens,,,Iberis sempervirens L. 'Climax',Iberis sempervirens 'Climax',20100529,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,94,Mixed Border,,,
Ilex,aquifolium,,,Ilex aquifolium L.,Ilex aquifolium,19963155,Ungenügend Angaben,,,Lebend,Nicht verifiziert,48,Mitteleuropa Bienenkasten zum Teich,,,
Ilex,aquifolium,,,Ilex aquifolium L.,Ilex aquifolium,19963385,Ungenügend Angaben,,,Lebend,Nicht verifiziert,38,"Bord Wildbach, Steinlager",,,
Ilex,aquifolium,,,Ilex aquifolium L. 'Bacciflava',Ilex aquifolium 'Bacciflava',19963386,Ungenügend Angaben,,,Lebend,Nicht verifiziert,"12, 37, 189","Anzucht Freiland,Farn- u. Schattenterrassen,Wald mit Frühlingsblüher",,,
Ilex,aquifolium,,,Ilex aquifolium L.,Ilex aquifolium,19900160,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,38,"Bord Wildbach, Steinlager",,,
Ilex,aquifolium,,,Ilex aquifolium L.,Ilex aquifolium,19964170,Ungenügend Angaben,,,Lebend,Nicht verifiziert,20,Waldrand unterhalb der Magerwiese,,,
Ilex,aquifolium,,,Ilex aquifolium L.,Ilex aquifolium,19965090,Ungenügend Angaben,,,Lebend,Nicht verifiziert,513,Talstrasse,,,
Ilex,aquifolium,,,Ilex aquifolium L.,Ilex aquifolium,19965091,Ungenügend Angaben,,,Lebend,Nicht verifiziert,520,Aufgang Ost Katzhügel rechts,,,
Ilex,aquifolium,,,Ilex aquifolium L.,Ilex aquifolium,19965333,Ungenügend Angaben,,,Lebend,Nicht verifiziert,14,Waldrand und Farnsammlung,,,
Ilex,aquifolium,,,Ilex aquifolium L.,Ilex aquifolium,20180909,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,"8, 10.12","Bach-Blüten,Waldrand b. Nutzpflanzen",,,
,,Ilex,aquifolium,Ilex aquifolium L. 'Bacciflava',Ilex aquifolium 'Bacciflava',19963386,Ungenügend Angaben,,,Lebend,Nicht verifiziert,"12, 37, 189","Anzucht Freiland,Farn- u. Schattenterrassen,Wald mit Frühlingsblüher",,,
Iris,sibirica,,,Iris sibirica L. 'Emperor',Iris sibirica 'Emperor',19770459,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,"4, 5.26, 162","Anzucht Wasserpflanzen,Hamamelidaceae, Umgebung Wasserpflanzen,Tank 26",,,
Iris,sibirica,,,Iris sibirica L. x Iris pseudacorus L.,Iris sibirica x Iris pseudacorus,19963395,Ungenügend Angaben,,,Lebend,Nicht verifiziert,5.25,Tank 25,,,
Iris,sibirica,,,Iris sibirica L.,Iris sibirica,20080846,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Durch Experten,16,Teich und Umgebung,,,
Jacobaea,maritima,,,Jacobaea maritima (L.) Pelser & Meijden,Jacobaea maritima,20161196,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,55,Anzucht Trockengebiete (Kalthaus),,,
Kalmia,latifolia,,,Kalmia latifolia L.,Kalmia latifolia,19780031,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,39,Rhododendron Ost,,,
Knautia,arvensis,,,Knautia arvensis (L.) Coult.,Knautia arvensis,20060574,Ungenügend Angaben,,,Lebend,Nicht verifiziert,21,Magerwiese,,,
Lactuca,sativa,,,Lactuca sativa L.,Lactuca sativa,20200228,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,519.02,Krautgarten,,,
Lactuca,sativa,,,Lactuca sativa L. var. crispa L. 'Lollo Rosso',Lactuca sativa var. crispa 'Lollo Rosso',20200229,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,519.02,Krautgarten,,,
Lamium,galeobdolon,,,Lamium galeobdolon (L.) L.,Lamium galeobdolon,20060575,Ungenügend Angaben,,,Lebend,Durch Experten,21,Magerwiese,,,
Lamium,galeobdolon,,,Lamium galeobdolon L. subsp. montanum (Pers.) Hayek,Lamium galeobdolon subsp. montanum,20100758,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,37,Farn- u. Schattenterrassen,"Scheidegg ZH, Stellboden",Am Waldweg,Schweiz
Lamium,purpureum,,,Lamium purpureum L.,Lamium purpureum,20250248,,,,Lebend,,999,Zertifikate,,,
,,Lamprocapnos,spectabilis,Dicentra spectabilis (L.) Lem.,Dicentra spectabilis,20100539,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,94,Mixed Border,,,
Lapsana,communis,,,Lapsana communis L.,Lapsana communis,20250249,,,,Lebend,,999,Zertifikate,,,
Lathyrus,pratensis,,,Lathyrus pratensis L.,Lathyrus pratensis,20060550,Ungenügend Angaben,,,Lebend,Durch Experten,21,Magerwiese,,,
Lavandula,angustifolia,,,Lavandula angustifolia Mill. 'Hidcote',Lavandula angustifolia 'Hidcote',20031444,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,92,Kübelpflanzen Terrasse,,,
Lavandula,angustifolia,,,Lavandula angustifolia Mill. 'Alba',Lavandula angustifolia 'Alba',20031445,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,92,Kübelpflanzen Terrasse,,,
Lavandula,angustifolia,,,Lavandula angustifolia Mill. 'Hidcote',Lavandula angustifolia 'Hidcote',20130425,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,"2, 101","Gräserrabatte links,Umgebung Schauhäuser",,,
Lavandula,angustifolia,,,Lavandula angustifolia Mill. 'Munstead',Lavandula angustifolia 'Munstead',20190032,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,"7.18, 10.04, 10.18","Duftpflanzen,Mittelalter,Räucherpflanzen",,,
Leonurus,cardiaca,,,Leonurus cardiaca L.,Leonurus cardiaca,19963426,Ungenügend Angaben,,,Lebend,Durch Experten,10.16,Stärkung,,,
Leucanthemum,vulgare,,,Leucanthemum vulgare Lam.,Leucanthemum vulgare,20060553,Ungenügend Angaben,,,Lebend,Durch Experten,21,Magerwiese,,,
Leucojum,aestivum,,,Leucojum aestivum L.,Leucojum aestivum,19963429,Ungenügend Angaben,,,Lebend,Durch Experten,22,Wadi Nordost,,,
Levisticum,officinale,,,Levisticum officinale Koch,Levisticum officinale,19963431,Ungenügend Angaben,,,Lebend,Nicht verifiziert,10.09,Unani,,,
Ligustrum,vulgare,,,Ligustrum vulgare L. 'Atrovirens',Ligustrum vulgare 'Atrovirens',19770304,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,46,Mitteleuropa unterhalb Institut Mitte,,,
Ligustrum,vulgare,,,Ligustrum vulgare L.,Ligustrum vulgare,19964072,Ungenügend Angaben,,,Lebend,Nicht verifiziert,"8, 13, 96","Arenawald,Ex Bienengarten (Umbau),Waldrand b. Nutzpflanzen",,,
Ligustrum,vulgare,,,Ligustrum vulgare L.,Ligustrum vulgare,19770305,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,18,Umgebung Eichenkänzeli,,,
Lonicera,caprifolium,,,Lonicera caprifolium L.,Lonicera caprifolium,20250284,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,,10.12,Bach-Blüten,,,
Lonicera,ligustrina,,,Lonicera ligustrina Wall. var. yunnanensis Franch.,Lonicera ligustrina var. yunnanensis,20110002,Ungenügend Angaben,P,Ganze Pflanzen,Lebend,Nicht verifiziert,98,Parkplatz Zollikerstrasse,,,
Lonicera,periclymenum,,,Lonicera periclymenum L. 'Serotina',Lonicera periclymenum 'Serotina',20160882,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,519.03,Ziergarten,,,
Lonicera,periclymenum,,,Lonicera periclymenum L.,Lonicera periclymenum,20190618,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,"9, 503","Eingang Selnaubrücke links,Weg zu Schauhäuser und Paradiesli",,,
Lonicera,xylosteum,,,Lonicera xylosteum L.,Lonicera xylosteum,19964150,Ungenügend Angaben,,,Lebend,Durch Experten,"9, 12, 18, 96","Ex Bienengarten (Umbau),Umgebung Eichenkänzeli,Wald mit Frühlingsblüher ,Weg zu Schauhäuser und Paradiesli",,,
Lonicera,xylosteum,,,Lonicera xylosteum L.,Lonicera xylosteum,20190619,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,9,Weg zu Schauhäuser und Paradiesli,,,
Lotus,corniculatus,,,Lotus corniculatus L.,Lotus corniculatus,20060535,Ungenügend Angaben,,,Lebend,Durch Experten,21,Magerwiese,,,
Lotus,corniculatus,,,Lotus corniculatus L.,Lotus corniculatus,20210469,Ungenügend Angaben,P,Ganze Pflanzen,Lebend,Nicht verifiziert,10,Heilpflanzen,,,
Lotus,corniculatus,,,Lotus corniculatus L.,Lotus corniculatus,20250554,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,,33,Paeonienteil Süd,,,
Luzula,nivea,,,Luzula nivea (L.) DC.,Luzula nivea,19964166,Akzession nicht von Wildstandort,,,Lebend,Nicht verifiziert,32,Paeonienteil Nord,,,
Luzula,nivea,,,Luzula nivea (L.) DC.,Luzula nivea,19981625,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,24,Mittelmeer Institut bis Treppe,,,
Luzula,nivea,,,Luzula nivea (L.) DC.,Luzula nivea,20200105,Ungenügend Angaben,P,Ganze Pflanzen,Lebend,Nicht verifiziert,45,Mitteleuropa unterhalb Institut West,,,
