genus_lookup,species_lookup,synonym_genus_lookup,synonym_species_lookup,taxon_name,taxon_name_without_author,accession_code,provenance_type,material_type_code,material_type,accession_status,verification_level,field_codes,field_names,region,locality,country
Amelanchier,lamarckii,,,Amelanchier lamarckii F.G.Schroed.,Amelanchier lamarckii,20190609,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,9,Weg zu Schauhäuser und Paradiesli,,,
Amelanchier,ovalis,,,Amelanchier ovalis Medik.,Amelanchier ovalis,19965031,Ungenügend Angaben,,,Lebend,Nicht verifiziert,522,Treppenaufgang Katzhügel; links Maclura,,,
Amelanchier,ovalis,,,Amelanchier ovalis Medik.,Amelanchier ovalis,20180915,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,30,Frühlingsgarten Eingang Z Nord,,,
Amelanchier,ovalis,,,Amelanchier ovalis Medik.,Amelanchier ovalis,20250366,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,,46,Mitteleuropa unterhalb Institut Mitte,,,
,,Amelanchier,ovalis,Amelanchier canadensis (L.)Medik.,Amelanchier canadensis,19770307,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,12,Wald mit Frühlingsblüher,,,
,,Amelanchier,ovalis,Amelanchier canadensis (L.)Medik.,Amelanchier canadensis,19965030,Ungenügend Angaben,,,Lebend,Nicht verifiziert,502,Pelikanstrasse,,,
Anemone,coronaria,,,Anemone coronaria L. 'Mr.Fokker',Anemone coronaria 'Mr.Fokker',20181075,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,94,Mixed Border,,,
Anthericum,liliago,,,Anthericum liliago L.,Anthericum liliago,19963056,Ungenügend Angaben,,,Lebend,Durch Experten,40,Süd- und SO-Alpen,,,
Anthyllis,vulneraria,,,Anthyllis vulneraria L.,Anthyllis vulneraria,20230508,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,10.14,CH-Heilpflanzen,,,
Apium,graveolens,,,Apium graveolens L.,Apium graveolens,20161013,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,519.02,Krautgarten,,,
Apium,graveolens,,,Apium graveolens L. 'Wiener Riesen',Apium graveolens 'Wiener Riesen',20190020,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,10.16,Stärkung,,,
Aquilegia,vulgaris,,,Aquilegia vulgaris L. 'Ruby Port',Aquilegia vulgaris 'Ruby Port',20100584,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,94,Mixed Border,,,
Aquilegia,vulgaris,,,Aquilegia vulgaris L. 'Ruby Port',Aquilegia vulgaris 'Ruby Port',20240202,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,,27,Färbepflanzen,,,
,,Aquilegia,vulgaris,Aquilegia atrata W.D.J.Koch,Aquilegia atrata,20090431,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Durch Experten,46,Mitteleuropa unterhalb Institut Mitte,,,
,,Aquilegia,vulgaris,Aquilegia vulgaris L. 'Ruby Port',Aquilegia vulgaris 'Ruby Port',20100584,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,94,Mixed Border,,,
,,Aquilegia,vulgaris,Aquilegia atrata W.D.J.Koch,Aquilegia atrata,20130563,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,46,Mitteleuropa unterhalb Institut Mitte,,,
,,Aquilegia,vulgaris,Aquilegia vulgaris L. 'Ruby Port',Aquilegia vulgaris 'Ruby Port',20240202,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,,27,Färbepflanzen,,,
Arabidopsis,thaliana,,,Arabidopsis thaliana (L.) Heynh.,Arabidopsis thaliana,20260092,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,,7,Nutzpflanzen,"Dietlikon, Im Lämpitzäckern",auf Schotter am Wegrand gewachsen,Schweiz
Aria,edulis,,,Aria edulis (Willd.) M.Roem.,Aria edulis,19965154,Ungenügend Angaben,,,Lebend,Nicht verifiziert,532,Rasen vis-à-vis Ex-Kompostplatz,,,
Aria,edulis,,,Aria edulis (Willd.) M.Roem.,Aria edulis,19965155,Ungenügend Angaben,,,Lebend,Nicht verifiziert,547,Böschung Schanzengraben,,,
Aria,edulis,,,Aria edulis (Willd.) M.Roem.,Aria edulis,20120476,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,29,Frühlingsgarten Eingang Z West,,,
Aria,edulis,,,Aria edulis (Willd.) M.Roem.,Aria edulis,20160475,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,45,Mitteleuropa unterhalb Institut West,,,
Armoracia,rusticana,,,"Armoracia rusticana G.Gaertn., B.Mey. & Schreb.",Armoracia rusticana,20110317,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,10.16,Stärkung,,,
Astrantia,major,,,Astrantia major L.,Astrantia major,20160883,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,519.03,Ziergarten,,,
Bellis,perennis,,,Bellis perennis L.,Bellis perennis,20120421,Ungenügend Angaben,,,Lebend,Durch Experten,"7, 21","Magerwiese,Nutzpflanzen",,,
Berberis,julianae,,,Berberis julianae C.K.Schneid.,Berberis julianae,19890051,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,9,Weg zu Schauhäuser und Paradiesli,,,
Berberis,vulgaris,,,Berberis vulgaris L.,Berberis vulgaris,20160472,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,33,Paeonienteil Süd,,,
Berberis,vulgaris,,,Berberis vulgaris L.,Berberis vulgaris,20180888,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,"8, 10.09","Unani,Waldrand b. Nutzpflanzen",,,
Bergenia,crassifolia,,,Bergenia crassifolia (L.) Fritsch var. crassifolia  'Abendglut',Bergenia crassifolia,20100525,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,94,Mixed Border,,,
Bletilla,striata,,,Bletilla striata (Thunb.) Rchb.f.,Bletilla striata,19770015,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,"29, 42","Asien am Hauptweg,Frühlingsgarten Eingang Z West",,,
Bletilla,striata,,,Bletilla striata (Thunb.) Rchb.f.,Bletilla striata,20040304,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,37,Farn- u. Schattenterrassen,,,
Brassica,oleracea,,,Brassica oleracea L.,Brassica oleracea,20161015,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,519.02,Krautgarten,,,
,,Brassica,oleracea,Brassica oleracea L.,Brassica oleracea,20161015,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,519.02,Krautgarten,,,
Brunnera,macrophylla,,,Brunnera macrophylla (Adams) I.M.Johnst.,Brunnera macrophylla,19790174,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,6,Epimedium-Wäldchen,,,
Buddleja,davidii,,,Buddleja davidii Franch.,Buddleja davidii,20250495,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,,999,Zertifikate,"Effretikon, Moosburg",,Schweiz
Buphthalmum,salicifolium,,,Buphthalmum salicifolium L.,Buphthalmum salicifolium,20151104,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,41,Mitteleuropa am Hauptweg,Albis ZH,,Schweiz
Buphthalmum,salicifolium,,,Buphthalmum salicifolium L.,Buphthalmum salicifolium,20240207,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,,27,Färbepflanzen,,,
Buxus,sempervirens,,,Buxus sempervirens L.,Buxus sempervirens,19770306,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,"39, 165","Kompostumgebung,Rhododendron Ost",,,
Buxus,sempervirens,,,Buxus sempervirens L.,Buxus sempervirens,19770086,Ungenügend Angaben,,,Lebend,Durch Experten,23,Wadi Südost,,,
Buxus,sempervirens,,,Buxus sempervirens L.,Buxus sempervirens,19965037,Ungenügend Angaben,,,Lebend,Nicht verifiziert,502,Pelikanstrasse,,,
Buxus,sempervirens,,,Buxus sempervirens L.,Buxus sempervirens,19965038,Ungenügend Angaben,,,Lebend,Nicht verifiziert,507,Schanzengraben,,,
Buxus,sempervirens,,,Buxus sempervirens L.,Buxus sempervirens,19965039,Ungenügend Angaben,,,Lebend,Nicht verifiziert,534,"Rasen oberhalb, anfangs Männerbadi",,,
Buxus,sempervirens,,,Buxus sempervirens L. 'Angustifolia',Buxus sempervirens 'Angustifolia',19965233,Ungenügend Angaben,,,Lebend,Nicht verifiziert,501,Oswald Heer Denkmal,,,
Buxus,sempervirens,,,Buxus sempervirens L. 'Marginata',Buxus sempervirens 'Marginata',19965234,Ungenügend Angaben,,,Lebend,Nicht verifiziert,501,Oswald Heer Denkmal,,,
Buxus,sempervirens,,,Buxus sempervirens L. 'Rotundifolia',Buxus sempervirens 'Rotundifolia',19968257,Ungenügend Angaben,P,Ganze Pflanzen,Lebend,Nicht verifiziert,"8, 14, 19, 20, 26","Frühlingsgarten Hauptweg Ost,Umgebung Eichenkänzeli  Südwest gegen Villa,Waldrand b. Nutzpflanzen,Waldrand und Farnsammlung,Waldrand unterhalb der Magerwiese",,,
Camassia,cusickii,,,Camassia cusickii S. Watson,Camassia cusickii,20110569,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,94,Mixed Border,,,
Camassia,leichtlinii,,,Camassia leichtlinii (Baker) S.Watson,Camassia leichtlinii,19963122,Ungenügend Angaben,,,Lebend,Nicht verifiziert,22,Wadi Nordost,,,
Camassia,quamash,,,Camassia quamash (Pursh) Greene,Camassia quamash,20051013,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,940,Archiv Nutz-/Heilpflanzen (ex 7 bis 2018),,,
Camellia,sasanqua,,,Camellia sasanqua Thunb.,Camellia sasanqua,20021169,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,524,Moorbeet,,,
Campanula,poscharskyana,,,Campanula poscharskyana Degen,Campanula poscharskyana,19963126,Ungenügend Angaben,,,Lebend,Durch Experten,"24, 39","Mittelmeer Institut bis Treppe,Rhododendron Ost",,,
Campanula,trachelium,,,Campanula trachelium L.,Campanula trachelium,20190965,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,9,Weg zu Schauhäuser und Paradiesli,,,
Capsella,bursa-pastoris,,,Capsella bursa-pastoris (L.) Medik.,Capsella bursa-pastoris,20250227,,,,Lebend,,999,Zertifikate,,,
Capsicum,frutescens,,,Capsicum frutescens L. 'Zimbabwe Birds Eye',Capsicum frutescens 'Zimbabwe Birds Eye',20051246,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,7.1,Afrika,,,
Cardamine,bulbifera,,,Cardamine bulbifera (L.) Crantz,Cardamine bulbifera,19965335,Ungenügend Angaben,,,Lebend,Durch Experten,"24, 39","Mittelmeer Institut bis Treppe,Rhododendron Ost",,,
Cardamine,heptaphylla,,,Cardamine heptaphylla (Vill.) O.E.Schulz,Cardamine heptaphylla,20090397,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,Durch Experten,46,Mitteleuropa unterhalb Institut Mitte,Rodersdorf SO,Berg,Schweiz
Cardamine,hirsuta,,,Cardamine hirsuta L.,Cardamine hirsuta,20250228,,,,Lebend,,999,Zertifikate,,,
Cardamine,pratensis,,,Cardamine pratensis L.,Cardamine pratensis,19965392,Ungenügend Angaben,,,Lebend,Durch Experten,21,Magerwiese,,,
Centaurea,cyanus,,,Centaurea cyanus L.,Centaurea cyanus,20250340,,,,Lebend,,999,Zertifikate,,,
Centaurea,jacea,,,Centaurea jacea L.,Centaurea jacea,20050014,Ungenügend Angaben,,,Lebend,Durch Experten,21,Magerwiese,,,
Centaurea,montana,,,Centaurea montana L. 'Grandiflora',Centaurea montana 'Grandiflora',20100538,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,94,Mixed Border,,,
Centaurea,scabiosa,,,Centaurea scabiosa L. subsp. grinensis (Reut.) Nyman,Centaurea scabiosa subsp. grinensis,20180652,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,27,Färbepflanzen,"Glattfelden, ZH","Glattfelden, Niedermatt, versamt unterhalb katholischer Kirche",Schweiz
,,Centaurea,scabiosa,Centaurea scabiosa L. subsp. grinensis (Reut.) Nyman,Centaurea scabiosa subsp. grinensis,20180652,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,27,Färbepflanzen,"Glattfelden, ZH","Glattfelden, Niedermatt, versamt unterhalb katholischer Kirche",Schweiz
Centaurea,stoebe,,,Centaurea stoebe L.,Centaurea stoebe,19945003,Ungenügend Angaben,,,Lebend,Durch Experten,40,Süd- und SO-Alpen,,,
Cerastium,fontanum,,,Cerastium fontanum Baumg.,Cerastium fontanum,20060559,Ungenügend Angaben,,,Lebend,Durch Experten,21,Magerwiese,,,
Chaenomeles,speciosa,,,Chaenomeles speciosa (Sweet) Nakai 'Gartenform',Chaenomeles speciosa 'Gartenform',19760321,Ungenügend Angaben,,,Lebend,Nicht verifiziert,"28, 30","Frühlingsgarten an Zollikerstrasse,Frühlingsgarten Eingang Z Nord",,,
Chaenomeles,speciosa,,,Chaenomeles speciosa (Sweet) Nakai 'Gartenform',Chaenomeles speciosa 'Gartenform',19740005,Ungenügend Angaben,,,Lebend,Durch Experten,520,Aufgang Ost Katzhügel rechts,,,
Chamaemelum,nobile,,,Chamaemelum nobile (L.) All.,Chamaemelum nobile,20100557,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,10.17,Linderung,,,
Chelidonium,majus,,,Chelidonium majus L.,Chelidonium majus,19966353,Ungenügend Angaben,,,Lebend,Durch Experten,10.14,CH-Heilpflanzen,,,
Cicerbita,macrophylla,,,Cicerbita macrophylla (Willd.) Wallr. subsp. uralensis (Rouy) P.D.Sell,Cicerbita macrophylla subsp. uralensis,19951828,Akzession nicht von Wildstandort,,,Lebend,Durch Experten,"520, 527","Aufgang Ost Katzhügel rechts,Oberhalb Parkplatz",,,
Cichorium,intybus,,,Cichorium intybus L.,Cichorium intybus,20180777,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,"10.12, 10.16","Bach-Blüten,Stärkung",,,
,,Cichorium,intybus,Cichorium intybus L.,Cichorium intybus,20180777,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,"10.12, 10.16","Bach-Blüten,Stärkung",,,
Circaea,lutetiana,,,Circaea lutetiana L.,Circaea lutetiana,19965046,Ungenügend Angaben,,,Lebend,Nicht verifiziert,"12, 13, 16","Arenawald,Teich und Umgebung,Wald mit Frühlingsblüher",,,
Cirsium,arvense,,,Cirsium arvense (L.) Scop.,Cirsium arvense,20250344,,,,Lebend,,999,Zertifikate,,,
Clematis,montana,,,Clematis montana Buch.-Ham. ex DC. 'Elisabeth',Clematis montana 'Elisabeth',19951831,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,515,Instituts-Gebäude,,,
Clematis,montana,,,Clematis montana Buch.-Ham. ex DC. 'Mayleen',Clematis montana 'Mayleen',20190601,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,8,Waldrand b. Nutzpflanzen,,,
Clematis,recta,,,Clematis recta L.,Clematis recta,19963181,Ungenügend Angaben,,,Lebend,Durch Experten,24,Mittelmeer Institut bis Treppe,,,
Clematis,recta,,,Clematis recta L.,Clematis recta,20090724,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,"41, 161","Anzucht Farnterrasse,Mitteleuropa am Hauptweg","Monte dei Pizzoni, Val Solda","offener Hang, Südflanke vom Pizzoni",Italien
Clematis,vitalba,,,Clematis vitalba L.,Clematis vitalba,20180778,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,10.12,Bach-Blüten,,,
Clematis,viticella,,,Clematis viticella L.,Clematis viticella,20190614,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,8,Waldrand b. Nutzpflanzen,,,
Clematis,viticella,,,Clematis viticella L.,Clematis viticella,20240601,Ungenügend Angaben,P,Ganze Pflanzen,Lebend,,24,Mittelmeer Institut bis Treppe,,,
Convallaria,majalis,,,Convallaria majalis L.,Convallaria majalis,19965656,Ungenügend Angaben,,,Lebend,Nicht verifiziert,"10.14, 519.03","CH-Heilpflanzen,Ziergarten",,,
Convallaria,majalis,,,Convallaria majalis L.,Convallaria majalis,20220543,Ungenügend Angaben,P,Ganze Pflanzen,Lebend,Nicht verifiziert,23,Wadi Südost,,,
Convolvulus,arvensis,,,Convolvulus arvensis L.,Convolvulus arvensis,20250237,,,,Lebend,,999,Zertifikate,,,
Cornus,sanguinea,,,Cornus sanguinea L.,Cornus sanguinea,19964970,Ungenügend Angaben,,,Lebend,Nicht verifiziert,"8, 13","Arenawald,Waldrand b. Nutzpflanzen",,,
Coronilla,varia,,,Coronilla varia L.,Coronilla varia,19963203,Ungenügend Angaben,,,Lebend,Nicht verifiziert,23,Wadi Südost,,,
Coronilla,varia,,,Coronilla varia L.,Coronilla varia,20250557,Ungenügend Angaben,P,Ganze Pflanzen,Lebend,,33,Paeonienteil Süd,,,
Cota,tinctoria,,,Cota tinctoria (L.) J.Gay,Cota tinctoria,20240201,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,,519.01,Wurzgarten,,,
Cotinus,coggygria,,,Cotinus coggygria Scop.,Cotinus coggygria,20181081,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,513,Talstrasse,,,
Cotoneaster,dammeri,,,Cotoneaster dammeri C.K.Schneid.,Cotoneaster dammeri,19965064,Ungenügend Angaben,,,Lebend,Nicht verifiziert,515,Instituts-Gebäude,,,
Crataegus,monogyna,,,Crataegus monogyna Jacq.,Crataegus monogyna,19964162,Ungenügend Angaben,,,Lebend,Durch Experten,18,Umgebung Eichenkänzeli,,,
Crataegus,monogyna,,,Crataegus monogyna Jacq.,Crataegus monogyna,20180892,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,10.13,Gemmotherapie,,,
Crepis,biennis,,,Crepis biennis L.,Crepis biennis,20050015,Ungenügend Angaben,,,Lebend,Durch Experten,21,Magerwiese,,,
Crepis,capillaris,,,Crepis capillaris Wallr.,Crepis capillaris,20250354,,,,Lebend,,999,Zertifikate,,,
Cymbalaria,muralis,,,"Cymbalaria muralis P.Gaertn., B.Mey. & Scherb.",Cymbalaria muralis,20100586,Ungenügend Angaben,P,Ganze Pflanzen,Lebend,Nicht verifiziert,37,Farn- u. Schattenterrassen,,,
Cynara,cardunculus,,,Cynara cardunculus L. Scolymus Grp. 'Grüne von Laon',Cynara cardunculus 'Grüne von Laon',20190027,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,"7.05, 10.10","Ausstellungen,Mediterran",,,
Dasiphora,fruticosa,,,Dasiphora fruticosa (L.) Rydb. 'Kobold',Dasiphora fruticosa 'Kobold',20120323,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,98,Parkplatz Zollikerstrasse,,,
Deutzia,crenata,,,Deutzia crenata Siebold & Zucc. 'Nikko',Deutzia crenata 'Nikko',20120319,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,98,Parkplatz Zollikerstrasse,,,
,,Deutzia,gracilis,Deutzia crenata Siebold & Zucc. 'Nikko',Deutzia crenata 'Nikko',20120319,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,98,Parkplatz Zollikerstrasse,,,
Deutzia,scabra,,,Deutzia scabra Thunb.,Deutzia scabra,19965069,Ungenügend Angaben,,,Lebend,Nicht verifiziert,516,Dach Depot,,,
Dianthus,armeria,,,Dianthus armeria L.,Dianthus armeria,19981104,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,Durch Experten,"519, 534","Gessner-Garten,Rasen oberhalb, anfangs Männerbadi",Zürich ZH,südwestliche Kieswege im Garten,Schweiz
Digitalis,purpurea,,,Digitalis purpurea L. subsp. purpurea,Digitalis purpurea subsp. purpurea,20180790,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,"10.01, 10.03","Kontinuum,Renaissance",,,
,,Duchesnea,indica,Potentilla indica (Andrews ) Th.Wolf,Potentilla indica,19963264,Ungenügend Angaben,,,Lebend,Nicht verifiziert,30,Frühlingsgarten Eingang Z Nord,,,
Echinacea,purpurea,,,Echinacea purpurea (L.) Moench,Echinacea purpurea,20180708,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,"10.05, 57","Gegenwart,Institutsrabatte",,,
Echinacea,purpurea,,,Echinacea purpurea (L.) Moench,Echinacea purpurea,20240203,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,,57,Institutsrabatte,,,
