SEN.2;SEN;Nr_SISF;Rank;Taxon_name;Authority;Subfamily;Family;Fern;Gymnosperm;Primitive_Angiosperm;Monocot;Eudicot;Garden_functional_group;Crop_use;Growth_form;Growth_form_simple;Liana;Carnivorous;Parasitic;Height_m;Leaf_duration;Pollination_mode;Structural_blossom_class;Tube_or_spur_present;Ressource;Visual_attraction;Alighting;Pollen_deposition_reception;Displaying_pollen;Pollinator_behaviour;Tube_spur_length_mm;Corolla_or_substitute_length_mm;Flower_diametre_mm;Inflorescence_diameter_mm;Coloured_bracts_or_substitute;Coloured_bract_lenght_mm;Brown_Drab;Green;Blue;Red;Orange;White;Yellow;Violet;Purpur_Magenta;Rose;January;February;March;April;May;June;July;August;September;October;November;December;Flower_onset;Months_flowering;Naturalization_status;Young_species;Freisetzungsverordnung;Black_list;Watch_list;Ecological_group;Red_list_CH;Red_list_MP;Red_list_MP2;IndigenatCH;Origin_status;Geographic_range_CHECK;Note
3344;3344;235700;sp;Lepidium sativum;L.;NA;Brassicaceae;0;0;0;0;1;crop;1;therophyte;annual plant;0;0;0;0.6;deciduous;biotic;dish_bowl;0;NP;margin;margin;diffuse_inside;half_hidden;alighting;0;2.5;5;NA;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;June;2;archeophyte;1;0;0;0;weeds_ruderal_plants;(LC);(LC);(LC);N;1;A3c;
NA;NA;NA;sp;Linaria maroccana;Hook. f.;NA;Plantaginaceae;0;0;0;0;1;annual_border_flower;0;therophyte;annual plant;0;0;0;0.55;deciduous;biotic;gullet;1;NP;both_lips;lower_lip_or_carina;nototribic;hidden;alighting_forcing;15;30;NA;NA;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;1;1;1;1;0;0;0;June;4;neophyte;0;0;0;0;NA;NA;NA;NA;NC;1;A3d;
NA;NA;NA;sp;Linum grandiflorum;Desf.;NA;Linaceae;0;0;0;0;1;annual_border_flower;0;therophyte;annual plant;0;0;0;0.4;deciduous;biotic;dish_bowl;0;NP;diffuse;diffuse;diffuse_inside;open;primitive;0;30;NA;NA;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;June;5;neophyte;0;0;0;0;NA;NA;NA;NA;NC;1;A3d;
3446;3446;241700;sp;Linum usitatissimum;L.;NA;Linaceae;0;0;0;0;1;annual_border_flower;0;therophyte;annual plant;0;0;0;0.5;deciduous_wintergreen;biotic;dish_bowl;0;NP;diffuse;diffuse;diffuse_inside;open;primitive;0;15;NA;NA;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;June;2;archeophyte;1;0;0;0;weeds_ruderal_plants;EN;EN;EN;AC;1;C2;
NA;NA;NA;sp;Lotus tetragonolobus;L.;Faboidae;Fabaceae;0;0;0;0;1;crop;1;therophyte;annual plant;0;0;0;0.4;deciduous;biotic;flag;1;NP;standard;lower_lip_or_carina;sternotribic;hidden;alighting_forcing;5;22;14;NA;0;NA;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;May;2;neophyte;0;0;0;0;NA;NA;NA;NA;NC;1;C1;
3501;3501;245400;sp;Lunaria annua;L.;NA;Brassicaceae;0;0;0;0;1;annual_border_flower;0;therophyte;annual plant;0;0;0;1;wintergreen;biotic;dish_bowl;0;NP;margin;margin;diffuse_inside;half_hidden;alighting;0;25;26;NA;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;April;2;neophyte;1;0;0;0;weeds_ruderal_plants;LC;NT;NT;N;1;C2b;
3547;3547;249300;sp;Lycopersicon esculentum;Mill.;NA;Solanaceae;0;0;0;0;1;crop;1;therophyte;annual plant;0;0;0;2;deciduous;biotic;bell_trumpet;0;P;corolla_or_substitute;more_exact;central_inside;open;buzz_pollination;0;18;20;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;July;4;neophyte;1;0;0;0;weeds_ruderal_plants;(DD);(DD);(DD);N;1;A1;
3594;3594;253600;sp;Malva verticillata;L.;NA;Malvaceae;0;0;0;0;1;annual_border_flower;0;therophyte;annual plant;0;0;0;1.8;wintergreen;biotic;bell_trumpet;0;NP;corolla_or_substitute;more_exact;central_inside;half_hidden;crawling_in;0;12;16;NA;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;July;3;neophyte;0;0;0;0;weeds_ruderal_plants;(EN);(DD);(DD);N;1;A4b;
3599;3599;254000;sp;Matricaria chamomilla;L.;Asteroideae;Asteraceae;0;0;0;0;1;spontanous;1;therophyte;annual plant;0;0;0;0.4;wintergreen;biotic;dish_bowl;1;NP;diffuse;diffuse;diffuse_inside;open;primitive;4;6;NA;25;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;May;5;indigenous_or_archeophyte;0;0;0;0;weeds_ruderal_plants;LC;LC;LC;I;0;C2b;
3625;3625;256200;sp;Melampyrum arvense;L.;NA;Orobanchaceae;0;0;0;0;1;annual_border_flower;0;therophyte;annual plant;0;0;1;0.4;deciduous;biotic;gullet;1;NP;both_lips;lower_lip_or_carina;nototribic;hidden;alighting_forcing;18;25;NA;NA;1;30;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;June;3;indigenous_or_archeophyte;0;0;0;0;weeds_ruderal_plants;VU;EN;EN;I;0;B6a;
NA;NA;NA;sp;Melothria scabra;Naudin;NA;Cucurbitaceae;0;0;0;0;1;crop;1;therophyte;annual plant;1;0;0;2;deciduous;biotic;stielteller;1;NP;margin;margin;central_inside;hidden;alighting;NA;6;30;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;May;5;neophyte;0;0;0;0;NA;NA;NA;NA;NC;1;A1;
NA;NA;NA;hybrid;Nicotiana × sanderae;W. Watson;NA;Solanaceae;0;0;0;0;1;annual_border_flower;0;therophyte;annual plant;0;0;0;0.6;deciduous;biotic;stielteller;1;NP;margin;margin;central_inside;hidden;alighting;40;25;55;NA;0;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;July;3;neophyte;1;0;0;0;NA;NA;NA;NA;NC;1;CV;
3852;3852;271100;sp;Nicotiana tabacum;L.;NA;Solanaceae;0;0;0;0;1;crop;1;therophyte;annual plant;0;0;0;3;deciduous;biotic;stielteller;1;NP;margin;margin;central_inside;open;alighting;50;7;15;NA;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;July;4;neophyte;1;0;0;0;weeds_ruderal_plants;(DD);(DD);(DD);NC;1;A2c;
3854;3854;271400;sp;Nigella damascena;L.;NA;Ranunculaceae;0;0;0;0;1;annual_border_flower;0;therophyte;annual plant;0;0;0;0.5;partly_wintergreen;biotic;dish_bowl;1;NP;diffuse;diffuse;nototribic;open;primitive;2;20;40;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;May;3;neophyte;0;0;0;0;weeds_ruderal_plants;DD;DD;DD;N;1;C2;"\Roundabout\"" flower, rather specialized. Similar to Passiflora."""
