ugs_id,period,network_id,N_interactions,P_plants,A_pollinators,L_links,singleton_rate,connectance,link_evenness,H2_specialization,WNODF_nestedness,ugs_type,site_name,lat,lon,s_N,s_P,s_A,s_L,s_singletons,score_richness,score_completeness,s_connectance,s_evenness,s_H2,score_structure,score_overall_site
26,ABC,ABC_26,231,27,45,86,0.6162790697674418,0.07078189300411522,0.8887558634694723,0.6380958003983407,8.604630517382194,Garden,Gladiolenweg,47.38128,8.49833,0.9682224428997022,0.6801801801801803,0.8614958448753463,1,1,0.8774746169888072,1,0.16932824628950338,0.7833791185826412,0.25055647992333074,0.4010879482651584,0.7828830264101336
10,ABC,ABC_10,222,40,44,85,0.6941176470588235,0.048295454545454544,0.843206010353791,0.7204152317564397,7.071263035921205,Allotment,GZ Bachwiesen - Zürcher Gemeinschaftszentren,47.37907,8.48641,0.9235352532274083,1,0.8337950138504155,0.9838187702265372,0.6643968825343084,0.9352872593260902,0.6643968825343084,0,0.6311290651511021,0.5845899667988481,0.40523967731665006,0.7485972884653739
7,ABC,ABC_7,241,40,50,102,0.7352941176470589,0.051,0.8554983483591466,0.7190671573967808,4.421505759410996,Allotment,Gemeinschaftsgarten Grünhölzli,47.38736,8.46865,1,1,1,1,0.4561569111902215,1,0.4561569111902215,0,0.6722161157143812,0.5791197883550069,0.4171119680231294,0.7455093742438267
57,ABC,ABC_57,205,27,40,84,0.6547619047619048,0.07777777777777778,0.8523342024955682,0.6911031501103626,6.628352490421456,Ruderal,Oberer Letten,47.3844714,8.53759346,0.839126117179742,0.6801801801801803,0.7229916897506925,0.9676375404530745,0.8634289639890305,0.8024838818909223,0.8634289639890305,0.23876068172443554,0.661639981131213,0.46564822147475726,0.4553496281101353,0.7278893348653472
39,ABC,ABC_39,145,35,27,62,0.6290322580645161,0.0656084656084656,0.8882247816454456,0.76344907841312315,7.477096546863988,Park,Zeughaushof,47.3771755,8.53009344,0.5412115193644489,1,0.3628808864265928,0.6116504854368932,0.9935503856265742,0.6289357228069837,0.9935503856265742,0.11798325201829307,0.7816039814405029,0.7592115065160806,0.5529329133249589,0.6828579530003958
20,ABC,ABC_20,174,33,28,65,0.6307692307692307,0.07034632034632035,0.8702053889552123,0.6589785174786774,11.975717439293598,Real estate,Genosseschaft in der Ey,47.37421,8.49236,0.6852035749751738,0.9504504504504507,0.39058171745152354,0.6601941747572816,0.9847660692175185,0.6716074794086074,0.9847660692175185,0.1650052948090245,0.721374292160837,0.33529378540149246,0.407224457457118,0.6681434418825174
58,ABC,ABC_58,249,26,54,86,0.7325581395348837,0.06125356125356125,0.801785315299347,0.6364642588025259,4.474319340492461,Ruderal,Allmannstrasse,47.4168364542774,8.55126416858936,1,0.6351351351351352,1,1,0.4699934541366729,0.9087837837837838,0.4699934541366729,0.07476189757495788,0.49268069256920444,0.24393605605449112,0.27045954873288447,0.6614446590916367
35,ABC,ABC_35,123,34,52,79,0.7848101265822784,0.04468325791855204,0.932490437513697,0.7816021213807195,2.1427309662603777,Garden,Hubenstrasse,47.4016,8.5695,0.4319761668321748,0.9954954954954958,1,0.8867313915857605,0.205741755776447,0.8285507634783578,0.205741755776447,0,0.9295616148934023,0.8328724167025152,0.5874780105319725,0.6437207737013794
21,ABC,ABC_21,139,32,50,87,0.7931034482758621,0.054375,0.9244882464816175,0.7511967964050569,2.7358125121053654,Real estate,Waidspital,47.398,8.52109,0.5114200595829196,0.9054054054054056,1,1,0.16380030117512473,0.8542063662470814,0.16380030117512473,0.006493869216182868,0.9028143494497725,0.7094945391632215,0.5396009192763923,0.6374737914900178
56,ABC,ABC_56,157,28,39,69,0.6956521739130435,0.06318681318681318,0.8690969561182728,0.745698193421687,3.3809949359547216,Ruderal,ETH / UZH,47.3751209,8.54730172,0.6007944389275075,0.7252252252252255,0.6952908587257618,0.7249190938511326,0.6566363867078208,0.6865574041824068,0.6566363867078208,0.09394894744466276,0.7176693634485375,0.6871824617207858,0.49960025753799536,0.6338339140263868
