rank_overall,network_id,period,ugs_id,ugs_type,site_name,plants_recorded,P_plants,plants_interaction_share,N_interactions,A_pollinators,L_links,singleton_rate,share_interactions_species_id,share_bee_interactions,plant_trait_weighted_cov,bee_trait_weighted_cov,score_richness,score_completeness,score_trait_coverage,score_trait_breadth,score_overall_noBG
128,C_41,C,41,Park,Pestalozianlage,6,3,0.5,6,2,3,0.333,1,1,1,1,0.001,1,1,0.05,0.493
129,B_23,B,23,Real estate,Leimbachstrasse,18,7,0.389,46,10,14,0.571,0.652,0.522,1,1,0.338,0.488,1,0.471,0.49
130,B_34,B,34,Garden,NA,22,9,0.409,13,10,13,1,1,0.846,0.923,1,0.284,0.5,0.819,0.632,0.49
131,C_1,C,1,Allotment,Gartenareal Breitenstein,25,7,0.28,16,7,10,0.8,1,0.812,1,1,0.189,0.728,1,0.388,0.49
132,A_30,A,30,Garden,Eleonorenstrasse,26,6,0.231,18,10,14,0.714,0.889,0.667,1,1,0.242,0.584,1,0.454,0.489
133,B_40,B,40,Park,Josefwiese,10,3,0.3,12,6,9,0.667,1,0.417,1,1,0.074,0.88,1,0.315,0.483
134,A_32,A,32,Garden,Kapfsteig,32,9,0.281,26,11,18,0.667,0.885,0.769,0.923,0.95,0.369,0.629,0.621,0.443,0.483
135,A_41,A,41,Park,Pestalozianlage,4,3,0.75,22,6,8,0.5,1,0.864,1,1,0.093,1,1,0.23,0.483
136,C_31,C,31,Garden,Schützenmatt,14,3,0.214,27,14,16,0.688,0.963,0.778,1,0.909,0.271,0.776,0.64,0.286,0.48
137,C_36,C,36,Garden,Blüemlisalpstrasse,14,6,0.429,11,7,10,0.9,1,0.818,1,1,0.154,0.614,1,0.474,0.476
138,B_38,B,38,Park,Park Pfingstweid,22,4,0.182,20,3,6,0.333,1,1,1,1,0.068,1,1,0.255,0.472
139,C_11,C,11,Allotment,Familiengarten Heuelsteig,27,9,0.333,22,8,13,0.692,0.955,1,0.864,0.955,0.282,0.752,0.499,0.525,0.47
140,A_55,A,55,Ruderal,Hinterhagenweg,16,7,0.438,21,9,12,0.75,0.905,0.667,1,1,0.243,0.578,1,0.31,0.467
141,C_4,C,4,Allotment,Juchhof,28,2,0.071,8,6,6,0.833,1,0.625,1,1,0.041,0.69,1,0.22,0.466
142,A_16,A,16,Real estate,Grünau,14,5,0.357,15,9,10,0.9,1,0.533,1,1,0.17,0.614,1,0.353,0.465
143,B_60,B,60,Ruderal,Am Giessen,14,8,0.571,21,9,13,0.846,1,0.619,0.857,1,0.271,0.675,0.663,0.47,0.458
144,A_17,A,17,Real estate,Bernstrasse,15,7,0.467,37,18,24,0.75,0.703,0.514,1,0.905,0.493,0.285,0.623,0.496,0.457
145,B_11,B,11,Allotment,Familiengarten Heuelsteig,26,8,0.308,26,7,15,0.8,1,0.769,0.885,1,0.274,0.728,0.728,0.319,0.451
146,B_37,B,37,Park,Alter Botantischer Garten,25,11,0.44,22,10,19,0.842,0.864,0.818,0.909,0.944,0.394,0.384,0.566,0.525,0.447
147,B_5,B,5,Allotment,Gartenareal Breitenstein,23,7,0.304,19,9,11,0.727,1,0.737,0.737,1,0.23,0.811,0.5,0.274,0.438
148,C_47,C,47,Park,Schärrerwiese,9,2,0.222,17,5,5,0.6,0.941,1,1,0.941,0.044,0.828,0.767,0.374,0.436
149,A_8,A,8,Allotment,Familiengartenverein Wiedikon,27,7,0.259,21,9,11,0.818,0.952,0.714,0.905,1,0.235,0.604,0.775,0.474,0.431
150,A_18,A,18,Real estate,Färberstrasse,15,4,0.267,11,8,9,0.889,0.909,0.545,1,1,0.118,0.429,1,0.427,0.426
151,A_24,A,24,Real estate,Altwiesenstrasse,10,4,0.4,5,5,5,1,1,0.6,1,1,0.035,0.5,1,0.411,0.424
152,A_31,A,31,Garden,Schützenmatt,15,6,0.4,16,9,11,0.818,0.938,0.75,1,0.917,0.201,0.571,0.67,0.379,0.42
153,A_52,A,52,Ruderal,Güterstrasse,14,7,0.5,32,7,13,0.923,1,0.844,1,1,0.254,0.588,1,0.276,0.419
154,C_42,C,42,Park,Bäckeralage,4,3,0.75,5,5,5,1,1,0.6,1,1,0.015,0.5,1,0.301,0.415
155,B_29,B,29,Garden,Bühlwiesenstrasse,25,3,0.12,7,5,6,0.833,1,0.286,1,1,0.025,0.69,1,0.1,0.414
156,A_33,A,33,Garden,Hardlaubstrasse 48,23,2,0.087,2,1,2,1,1,1,1,1,0,0.5,1,0.081,0.408
157,A_48,A,48,Park,Bachwiesenpark,15,5,0.333,15,13,14,0.929,0.867,0.533,0.867,1,0.252,0.292,0.686,0.371,0.404
158,C_28,C,28,Garden,Kasinostrasse,6,1,0.167,3,3,3,1,1,0.333,1,1,0,0.5,1,0,0.4
159,B_4,B,4,Allotment,Juchhof,19,8,0.421,13,9,13,1,1,0.846,0.769,1,0.25,0.5,0.5,0.363,0.397
160,A_12,A,12,Allotment,Familiengarten Wehrenbach,22,8,0.364,19,7,10,0.7,0.737,0.737,0.947,1,0.217,0.342,0.876,0.326,0.393
161,A_9,A,9,Allotment,Pauls Garden,28,3,0.107,3,3,3,1,1,0.333,1,1,0,0.5,1,0.088,0.388
162,A_46,A,46,Park,Muraltengut,18,3,0.167,6,5,5,0.8,0.833,0.667,1,1,0.015,0.366,1,0.322,0.386
163,A_28,A,28,Garden,Kasinostrasse,16,4,0.25,5,4,5,1,1,0.6,1,1,0.022,0.5,1,0.204,0.385
164,B_54,B,54,Ruderal,Herdernstrasse,12,5,0.417,25,11,14,0.786,0.96,0.88,0.72,0.957,0.253,0.657,0.328,0.482,0.383
165,A_44,A,44,Park,Sonnenberg,18,8,0.444,20,8,14,0.643,0.75,0.7,1,0.714,0.263,0.407,0.5,0.487,0.383
166,C_6,C,6,Allotment,Juchhof,10,3,0.3,7,4,5,0.8,1,1,0.714,1,0.005,0.728,0.5,0.196,0.369
167,C_14,C,14,Real estate,Regina Pärkli,32,9,0.281,18,5,12,0.75,0.667,0.611,1,0.909,0.224,0.285,0.64,0.317,0.368
168,A_51,A,51,Ruderal,Stelzenstrasse,6,4,0.667,25,10,11,0.818,0.92,0.84,1,0.864,0.197,0.533,0.5,0.36,0.358
169,B_2,B,2,Allotment,Grubenacker,19,6,0.316,39,6,9,0.556,0.795,0.718,0.308,1,0.209,0.555,0.5,0.289,0.352
170,A_5,A,5,Allotment,Gartenareal Breitenstein,22,4,0.182,18,7,9,0.667,0.944,0.778,0.944,0.929,0.124,0.759,0.586,0.021,0.349
171,A_6,A,6,Allotment,Juchhof,20,4,0.2,4,4,4,1,1,0.5,1,0.667,0.021,0.5,0.5,0.281,0.33
172,A_14,A,14,Real estate,Regina Pärkli,22,7,0.318,22,13,17,0.824,0.545,0.591,0.864,0.615,0.335,0.201,0.178,0.329,0.319
173,A_60,A,60,Ruderal,Am Giessen,24,2,0.083,2,2,2,1,0.5,0,1,NA,0,0,1,0.15,0.315
174,B_6,B,6,Allotment,Juchhof,12,5,0.417,25,5,8,0.625,0.4,0.32,0.84,1,0.13,0.427,0.623,0.161,0.313
175,B_28,B,28,Garden,Kasinostrasse,16,3,0.188,9,8,8,0.875,0.778,0.778,1,0.714,0.085,0.16,0.5,0.429,0.31
176,B_42,B,42,Park,Bäckeralage,7,2,0.286,6,4,4,0.75,0.833,0,1,0,0.001,0.423,0.5,0.065,0.3
177,A_11,A,11,Allotment,Familiengarten Heuelsteig,18,6,0.333,11,5,8,0.75,0.636,0.545,0.909,0.833,0.113,0.285,0.286,0.185,0.251
