ugs_id,period,network_id,N_interactions,P_plants,A_pollinators,L_links,singleton_rate,connectance,link_evenness,H2_specialization,WNODF_nestedness,ugs_type,site_name,lat,lon
37,ABC,ABC_37,83,23,31,55,0.7454545454545455,0.07713884992987377,0.9436736791413097,0.6700877476865869,5.970287836583101,Park,Alter Botantischer Garten,47.3712063,8.53370916
38,ABC,ABC_38,114,20,24,47,0.7021276595744681,0.09791666666666667,0.8037543292405723,0.6373534719701419,8.444206008583691,Park,Park Pfingstweid,47.3879955,8.51274138
39,ABC,ABC_39,145,35,27,62,0.6290322580645161,0.0656084656084656,0.8882247816454456,0.76344907841312315,7.477096546863988,Park,Zeughaushof,47.3771755,8.53009344
40,ABC,ABC_40,53,11,21,37,0.7837837837837838,0.16017316017316016,0.9527326306022202,0.6009093326023655,10.670859538784068,Park,Josefwiese,47.3857731,8.52359424
41,ABC,ABC_41,33,8,7,13,0.38461538461538464,0.23214285714285715,0.8692381848809759,0.5217639793816943,NA,Park,Pestalozianlage,47.375636,8.53877523
42,ABC,ABC_42,69,14,18,28,0.6785714285714286,0.1111111111111111,0.7717245389069982,0.749980992361969,3.5860655737704916,Park,Bäckeralage,47.3778306,8.52357823
43,ABC,ABC_43,99,19,40,63,0.7619047619047619,0.08289473684210526,0.9364171166745012,0.7656386329126588,3.2239246908016623,Park,Villa Hohenbühl,47.3667038,8.55088549
44,ABC,ABC_44,160,25,48,81,0.7777777777777778,0.0675,0.8619265356097531,0.6982103500462182,3.2628051220488192,Park,Sonnenberg,47.3677599,8.56729097
45,ABC,ABC_45,166,25,38,66,0.7272727272727273,0.06947368421052631,0.8527839295209696,0.7443301155110462,4.695912263210369,Park,Kloptstockwiese,47.36235,8.52484
46,ABC,ABC_46,145,22,37,57,0.7719298245614035,0.07002457002457002,0.8098816799304945,0.7237128298395793,4.468599033816425,Park,Muraltengut,47.3527107,8.53272972
47,ABC,ABC_47,78,14,30,42,0.8095238095238095,0.1,0.8608652168977474,0.754011755343015,2.8041825095057034,Park,Schärrerwiese,47.4027993,8.4975626
48,ABC,ABC_48,158,21,49,72,0.7916666666666666,0.06997084548104957,0.7506613394031081,0.8226112566877741,3.2728074394741062,Park,Bachwiesenpark,47.3813472,8.4865946
49,ABC,ABC_49,159,19,46,73,0.7945205479452054,0.08352402745995423,0.8294497613355197,0.6570533110687072,3.862828713574983,Ruderal,Nähe Europabrücke,47.3935133,8.49692767
50,ABC,ABC_50,126,20,37,63,0.7619047619047619,0.08513513513513514,0.860642627758688,0.6939178648523914,3.8385903426791277,Ruderal,Glattparkstrasse,47.4172938734014,8.56340153047356
51,ABC,ABC_51,160,27,43,67,0.746268656716418,0.05770887166236004,0.8361588801746207,0.735652620667193,4.332801701222754,Ruderal,Stelzenstrasse,47.4254028,8.5568885
52,ABC,ABC_52,243,21,35,66,0.7424242424242424,0.08979591836734693,0.6116452872234694,0.6679507988770259,6.082815734989649,Ruderal,Güterstrasse,47.3822448636764,8.51737256111909
53,ABC,ABC_53,155,27,39,82,0.7195121951219512,0.0778727445394112,0.9020506288900559,0.6166102033065197,7.425431711145998,Ruderal,Messe Hallenstadion /Cor: Offene Rennbahn,47.4104,8.55117
54,ABC,ABC_54,156,15,26,39,0.5897435897435898,0.1,0.6676132425133416,0.57716074305045,8.717054263565892,Ruderal,Herdernstrasse,47.3852502,8.50731145
55,ABC,ABC_55,128,31,33,61,0.7213114754098361,0.059628543499511244,0.8433966522581601,0.6689171783199407,8.47599865726754,Ruderal,Hinterhagenweg,47.3454633307774,8.51989234039952
56,ABC,ABC_56,157,28,39,69,0.6956521739130435,0.06318681318681318,0.8690969561182728,0.745698193421687,3.3809949359547216,Ruderal,ETH / UZH,47.3751209,8.54730172
57,ABC,ABC_57,205,27,40,84,0.6547619047619048,0.07777777777777778,0.8523342024955682,0.6911031501103626,6.628352490421456,Ruderal,Oberer Letten,47.3844714,8.53759346
58,ABC,ABC_58,249,26,54,86,0.7325581395348837,0.06125356125356125,0.801785315299347,0.6364642588025259,4.474319340492461,Ruderal,Allmannstrasse,47.4168364542774,8.55126416858936
59,ABC,ABC_59,116,15,30,52,0.7115384615384616,0.11555555555555555,0.8201601624073434,0.5399595392550048,7.888007054673721,Ruderal,Hofwiesenstrasse,47.4045952,8.53645843
60,ABC,ABC_60,102,13,14,28,0.8214285714285714,0.15384615384615385,0.6405145937173968,0.6411179235552434,7.001972386587772,Ruderal,Am Giessen,47.3996768,8.49474495
