feasibility_rank,feasibility_tier,preferred_tier,plant,family,primary_group,restrictive_subtype,decision_rule,periods_present,period_a,period_b,period_c,n_periods_from_flowers,n_site_periods_present,n_site_periods_with_bee,n_site_periods_without_bee,n_sites_present,n_periods_present,total_bee_visits,balance_score,max_site_period_share,in_botgarden,structural_blossom_class,displaying_pollen,tube_or_spur_present,tube_spur_length_mm,pollinator_behaviour,corolla_or_substitute_length_mm,alighting,trait_lookup_name,trait_match_type,trait_source_dataset,trait_match_note,selection_pool
49,reserve,FALSE,Melilotus officinalis,Fabaceae,restrictive_access,restricted_pollen_handling,restrictive_pollen_handling,B/C,FALSE,TRUE,TRUE,2,5,3,2,4,2,44,2,0.8181818181818182,TRUE,flag,hidden,1,1,alighting_forcing,7,lower_lip_or_carina,Melilotus officinalis,exact,extended_db,Exact species-level trait match.,backup
50,reserve,FALSE,Linaria purpurea,Plantaginaceae,restrictive_access,both_restrictive,restrictive_both,B/C,FALSE,TRUE,TRUE,2,5,3,2,4,2,6,2,0.6666666666666666,FALSE,gullet,hidden,1,6,alighting_forcing,13,lower_lip_or_carina,Linaria purpurea,exact,extended_db,Exact species-level trait match.,backup
51,reserve,FALSE,Thymus serpyllum,Lamiaceae,restrictive_access,concealed_nectar,restrictive_concealed_nectar,B/C,FALSE,TRUE,TRUE,2,5,3,2,3,2,19,2,0.47368421052631576,TRUE,gullet,open,1,2,alighting,4,lower_lip_or_carina,Thymus serpyllum,exact,manual_fill,Exact species-level trait match.,backup
1,preferred,TRUE,Bellis perennis,Asteraceae,open_access,NA,open_override_blossom_plus_open_pollen,A/B/C,TRUE,TRUE,TRUE,3,82,28,54,37,3,54,28,0.09259259259259259,TRUE,dish_bowl,open,1,1.5,primitive,11,diffuse,Bellis perennis,exact,extended_db,Exact species-level trait match.,main
4,preferred,TRUE,Plantago lanceolata,Plantaginaceae,open_access,NA,open_override_blossom_plus_open_pollen,A/B/C,TRUE,TRUE,TRUE,3,52,14,38,29,3,27,14,0.18518518518518517,TRUE,brush,open,0,0,alighting,0,diffuse,Plantago lanceolata,exact,extended_db,Exact species-level trait match.,main
6,preferred,TRUE,Ranunculus repens,Ranunculaceae,open_access,NA,open_override_blossom_plus_open_pollen,A/B/C,TRUE,TRUE,TRUE,3,32,13,19,23,3,41,13,0.4634146341463415,TRUE,dish_bowl,open,1,1,primitive,10,diffuse,Ranunculus repens,exact,extended_db,Exact species-level trait match.,main
9,preferred,TRUE,Taraxacum officinale,Asteraceae,open_access,NA,open_override_blossom_plus_open_pollen,A/B/C,TRUE,TRUE,TRUE,3,25,11,14,20,3,61,11,0.26229508196721313,TRUE,dish_bowl,open,1,6,primitive,15,diffuse,Taraxacum officinale aggr.,aggregate,extended_db,Trait row taken from aggregate taxon.,main
10,preferred,TRUE,Ranunculus acris,Ranunculaceae,open_access,NA,open_override_blossom_plus_open_pollen,A/B/C,TRUE,TRUE,TRUE,3,22,12,10,17,3,47,10,0.14893617021276595,TRUE,dish_bowl,open,1,1,primitive,13,diffuse,Ranunculus acris,exact,manual_fill,Exact species-level trait match.,main
11,preferred,TRUE,Leucanthemum vulgare,Asteraceae,open_access,NA,open_override_blossom_plus_open_pollen,A/B/C,TRUE,TRUE,TRUE,3,26,9,17,18,3,25,9,0.28,TRUE,dish_bowl,open,1,2,primitive,20,diffuse,Leucanthemum vulgare aggr.,aggregate,extended_db,Trait row taken from aggregate taxon.,main
20,preferred,TRUE,Achillea millefolium,Asteraceae,open_access,NA,open_override_blossom_plus_open_pollen,A/B/C,TRUE,TRUE,TRUE,3,15,10,5,13,3,43,5,0.4186046511627907,TRUE,dish_bowl,open,1,2,primitive,2,diffuse,Achillea millefolium aggr.,aggregate,extended_db,Trait row taken from aggregate taxon.,main
