plant,n_site_periods_present,n_sites_present,n_periods_present,n_site_periods_with_bee,n_site_periods_without_bee,total_bee_visits,mean_floral_abundance,sd_floral_abundance,max_site_period_visits,balance_score,max_site_period_share,abundance_cv,in_botgarden,feasibility_rank,feasibility_tier,preferred_tier,flag_low_balance,flag_low_periods,flag_high_concentration,flag_low_sites,fragility_score
Trifolium dubium,25,19,3,2,23,6,610,1011.7703543788975,5,2,0.8333333333333334,1.6586399252113075,TRUE,33,reserve,FALSE,TRUE,FALSE,TRUE,FALSE,2
Centaurea jacea,20,14,3,18,2,159,14.3,14.607496273092835,25,2,0.15723270440251572,1.0215032358806178,TRUE,34,good,FALSE,TRUE,FALSE,FALSE,FALSE,1
Salvia pratensis,18,13,3,16,2,72,81.33333333333333,77.92907786231393,13,2,0.18055555555555555,0.9581443999464828,TRUE,35,good,FALSE,TRUE,FALSE,FALSE,FALSE,1
Scabiosa columbaria,11,8,2,9,2,46,5.454545454545454,5.222329678670935,12,2,0.2608695652173913,0.9574271077563381,TRUE,36,reserve,FALSE,TRUE,TRUE,FALSE,FALSE,2
Helianthemum nummularium,10,7,3,8,2,23,50.9,110.28795642921911,8,2,0.34782608695652173,2.1667574936978213,TRUE,37,good,FALSE,TRUE,FALSE,FALSE,FALSE,1
Galium verum,8,7,2,2,6,16,2978.75,5108.551954461124,15,2,0.9375,1.71499855793911,TRUE,38,reserve,FALSE,TRUE,TRUE,TRUE,FALSE,3
Erigeron annuus,7,7,2,2,5,11,316.2857142857143,770.2810556945464,10,2,0.9090909090909091,2.4353962917171748,TRUE,39,reserve,FALSE,TRUE,TRUE,TRUE,FALSE,3
Centaurea scabiosa,9,6,3,7,2,48,7.666666666666667,11.672617529928752,26,2,0.5416666666666666,1.5225153299907068,TRUE,40,good,FALSE,TRUE,FALSE,FALSE,FALSE,1
Centaurea montana,9,6,3,7,2,33,6.888888888888889,7.573711845001176,7,2,0.21212121212121213,1.0994097839517836,TRUE,41,good,FALSE,TRUE,FALSE,FALSE,FALSE,1
Valeriana rubra,9,6,3,2,7,6,147.11111111111111,73.84179785941775,4,2,0.6666666666666666,0.5019457558419635,FALSE,42,good,FALSE,TRUE,FALSE,FALSE,FALSE,1
Echium vulgare,8,6,3,6,2,114,122.875,174.43823098326646,70,2,0.6140350877192983,1.4196397231598492,TRUE,43,good,FALSE,TRUE,FALSE,FALSE,FALSE,1
Lavandula angustifolia,6,6,2,4,2,69,248.16666666666666,348.8566563313171,28,2,0.4057971014492754,1.40573535123432,TRUE,44,reserve,FALSE,TRUE,TRUE,FALSE,FALSE,2
Knautia arvensis,7,5,3,5,2,41,9,8.465616732800196,25,2,0.6097560975609756,0.9406240814222441,TRUE,45,good,FALSE,TRUE,FALSE,FALSE,FALSE,1
Allium schoenoprasum,5,5,2,3,2,13,477.4,462.42761595735175,8,2,0.6153846153846154,0.9686376538696099,TRUE,46,reserve,FALSE,TRUE,TRUE,FALSE,FALSE,2
Hydrangea macrophylla,5,5,2,2,3,5,344.8,200.72543436246437,3,2,0.6,0.5821503316776808,TRUE,47,reserve,FALSE,TRUE,TRUE,FALSE,FALSE,2
Geranium endressii,6,4,3,4,2,14,11.5,10.578279633286312,5,2,0.35714285714285715,0.919850402894462,TRUE,48,good,FALSE,TRUE,FALSE,FALSE,FALSE,1
Melilotus officinalis,5,4,2,3,2,44,69.6,117.15502550040267,36,2,0.8181818181818182,1.6832618606379697,TRUE,49,reserve,FALSE,TRUE,TRUE,TRUE,FALSE,3
Linaria purpurea,5,4,2,3,2,6,53,20.566963801203133,4,2,0.6666666666666666,0.38805592077741763,FALSE,50,reserve,FALSE,TRUE,TRUE,FALSE,FALSE,2
Thymus serpyllum,5,3,2,3,2,19,376,434.6901195104393,9,2,0.47368421052631576,1.156090743378828,TRUE,51,reserve,FALSE,TRUE,TRUE,FALSE,FALSE,2
