ugs_id,ugs_type,site_name,plants_recorded_total,P_plants_interacting,A_pollinators,N_interactions,L_links,singleton_rate,share_interactions_species_id,share_bee_interactions,score_overall_site
26,Garden,Gladiolenweg,55,27,45,231,86,0.6162790697674418,0.9264069264069265,0.8095238095238095,0.7828830264101336
10,Allotment,GZ Bachwiesen - Zürcher Gemeinschaftszentren,73,40,44,222,85,0.6941176470588235,0.9819819819819819,0.8558558558558559,0.7485972884653739
7,Allotment,Gemeinschaftsgarten Grünhölzli,83,40,50,241,102,0.7352941176470589,0.991701244813278,0.8215767634854771,0.7455093742438267
57,Ruderal,Oberer Letten,43,27,40,205,84,0.6547619047619048,0.9707317073170731,0.9121951219512195,0.7278893348653472
39,Park,Zeughaushof,79,35,27,145,62,0.6290322580645161,0.9655172413793104,0.8896551724137931,0.6828579530003958
20,Real estate,Genosseschaft in der Ey,61,33,28,174,65,0.6307692307692307,0.9885057471264368,0.9252873563218391,0.6681434418825174
58,Ruderal,Allmannstrasse,50,26,54,249,86,0.7325581395348837,0.9437751004016064,0.8393574297188755,0.6614446590916367
35,Garden,Hubenstrasse,66,34,52,123,79,0.7848101265822784,1,0.7235772357723578,0.6437207737013794
21,Real estate,Waidspital,57,32,50,139,87,0.7931034482758621,0.9280575539568345,0.7266187050359713,0.6374737914900178
56,Ruderal,ETH / UZH,45,28,39,157,69,0.6956521739130435,0.9936305732484076,0.9235668789808917,0.6338339140263868
53,Ruderal,Messe Hallenstadion /Cor: Offene Rennbahn,34,27,39,155,82,0.7195121951219512,0.9806451612903225,0.864516129032258,0.6087398133592011
44,Park,Sonnenberg,43,25,48,160,81,0.7777777777777778,0.95,0.7875,0.580725871781913
45,Park,Kloptstockwiese,36,25,38,166,66,0.7272727272727273,0.9819277108433735,0.8674698795180723,0.5791242277682604
51,Ruderal,Stelzenstrasse,46,27,43,160,67,0.746268656716418,0.98125,0.86875,0.572175799764086
9,Allotment,Pauls Garden,105,27,39,216,73,0.726027397260274,0.9907407407407407,0.875,0.569814355537983
19,Real estate,Sägestrasse,51,28,44,133,77,0.7792207792207793,0.9624060150375939,0.7293233082706767,0.554635316459559
32,Garden,Kapfsteig,72,28,30,120,64,0.703125,0.975,0.8833333333333333,0.5474978830087778
48,Park,Bachwiesenpark,33,21,49,158,72,0.7916666666666666,0.9556962025316456,0.810126582278481,0.5374398082393577
55,Ruderal,Hinterhagenweg,53,31,33,128,61,0.7213114754098361,0.96875,0.7265625,0.5299455916394975
23,Real estate,Leimbachstrasse,42,18,32,217,44,0.6363636363636364,0.9216589861751152,0.8294930875576036,0.5241285731145982
3,Allotment,Gartenareal Breitenstein,85,29,35,185,67,0.746268656716418,0.9891891891891892,0.9513513513513514,0.5233048255288923
